script,avg_energy_uj,avg_runtime_s,LOC,CC_total,CC_avg,CC_max,halstead_volume,maintainability_index,code_smells,avg_energy_uj_pct_change,avg_runtime_s_pct_change,LOC_pct_change,CC_total_pct_change,CC_avg_pct_change,CC_max_pct_change,halstead_volume_pct_change,maintainability_index_pct_change,code_smells_pct_change
llama_multi_combination_sum.py,2380450.2,0.2329488357994705,12,4,4.0,4,84.0,62.45,1,-3.83,0.57,-58.62,-55.56,33.33,0.0,-60.19,23.39,0.0
llama_stagedcg_combination_sum.py,2495940.6,0.2346337529947049,30,9,3.0,4,206.72,50.36,1,0.83,1.29,3.45,0.0,0.0,0.0,-2.03,-0.49,0.0
llama_stagedgc_combination_sum.py,2468084.2,0.2363814888172783,32,9,3.0,4,188.02,50.03,1,-0.29,2.05,10.34,0.0,0.0,0.0,-10.89,-1.15,0.0
qwen_clean_combination_sum.py,2444976.8,0.23131542080082,27,9,3.0,4,206.72,51.35,1,-1.23,-0.14,-6.9,0.0,0.0,0.0,-2.03,1.46,0.0
qwen_green_combination_sum.py,2462994.0,0.2397163803922012,31,9,3.0,4,208.89,50.01,1,-0.5,3.49,6.9,0.0,0.0,0.0,-1.0,-1.19,0.0
qwen_multi_combination_sum.py,2472711.0,0.2291894264053553,29,9,3.0,4,169.64,51.28,1,-0.11,-1.06,0.0,0.0,0.0,0.0,-19.6,1.32,0.0
qwen_stagedcg_combination_sum.py,2472039.4,0.2334498693817295,29,9,3.0,4,208.89,50.64,1,-0.13,0.78,0.0,0.0,0.0,0.0,-1.0,0.06,0.0
qwen_stagedgc_combination_sum.py,2459393.4,0.2325827323948033,31,9,3.0,4,208.89,50.01,1,-0.64,0.41,6.9,0.0,0.0,0.0,-1.0,-1.19,0.0
,,,,,,,,,,,,,,,,,,
fenwick_tree.py,2441546.2,0.2330612179997842,32,7,1.75,2,266.72,49.24,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
deepseek_clean_fenwick_tree.py,2444452.0,0.2316101524105761,34,9,1.5,2,270.89,48.35,3,0.12,-0.62,6.25,28.57,-14.29,0.0,1.56,-1.81,0.0
deepseek_green_fenwick_tree.py,2430828.8,0.2328555198037065,31,7,1.75,2,254.37,49.68,3,-0.44,-0.09,-3.12,0.0,0.0,0.0,-4.63,0.89,0.0
deepseek_multi_fenwick_tree.py,2429034.2,0.2313680812017992,38,10,1.67,2,345.11,46.42,2,-0.51,-0.73,18.75,42.86,-4.57,0.0,29.39,-5.73,-33.33
deepseek_stagedcg_fenwick_tree.py,2472589.0,0.2333910894114524,45,11,1.83,4,398.54,44.25,4,1.27,0.14,40.62,57.14,4.57,100.0,49.42,-10.13,33.33
deepseek_stagedgc_fenwick_tree.py,2444879.0,0.2311081644031219,37,10,1.43,2,244.84,47.72,2,0.14,-0.84,15.62,42.86,-18.29,0.0,-8.2,-3.09,-33.33
gpt_clean_fenwick_tree.py,2439080.8,0.2327178760024253,38,9,1.5,2,274.84,47.25,3,-0.1,-0.15,18.75,28.57,-14.29,0.0,3.04,-4.04,0.0
gpt_green_fenwick_tree.py,2424249.0,0.232840677187778,40,8,2.0,3,351.25,46.15,4,-0.71,-0.09,25.0,14.29,14.29,50.0,31.69,-6.28,33.33
